Country,Tenant,Sport,City,Stadium,Capacity,Built,Seats
Algeria,National Stadium,Multi-use,Algiers,Stade 5 Juillet 1962,64000,1976,all-seater
Algeria,MC Alger,Football,Algiers,Stade 5 Juillet 1962,64000,1976,all-seater
Algeria,USM Annaba,Football,Annaba,Stade 19 Mai 1956,50000,null,all-seater
Algeria,USM Bel Abbès,Football,Sidi Bel Abbès,Stade 24 Février 1956,45000,null,null
Algeria,CS/MO Constantine,Football,Constantine,Stade Mohamed-Hamlaoui,45000,1973,all-seater
Algeria,JS Djijel,Football,Jijel,Stade Rouibah Hocine,40000,null,null
Algeria,USM Blida,Football,Blida,Stade Moustapha Tchaker,37000,null,null
Algeria,MC Saida,Football,Saida,Stade Olympique,35000,null,null
Algeria,MC Oran,Football,Oran,Stade Ahmed Zabana,32000,null,null
Algeria,JSM Tiaret,Football,Tiaret,Stade Ahmed-Kaïd,30000,null,null
Algeria,RC Relizane,Football,Relizane,Stade Tahar Zoughari,30000,null,null
Algeria,MC El Eulma,Football,El Eulma,Stade Messaoud Zougar,25000,null,null
Algeria,ES Sétif,Football,Sétif,Stade 8 Mai 1945,25000,null,null
Algeria,GC Mascara,Football,Mascara,Stade Unité Africaine,22000,null,null
Algeria,CA Batna,Football,Batna,Stade 1er Novembre,20000,1979,null
Algeria,JS Kabylie,Football,Tizi-Ouzou,Stade 1er Novembre,20000,null,null
Algeria,ASM Oran,Football,Oran,Stade Habib Bouakeul,20000,null,null
Algeria,JS Saoura,Football,Béchar,Stade 20 Août 1955,20000,null,null
Algeria,JSM Skikda,Football,Skikda,Stade 20 Août 1955,20000,null,null
Algeria,WA Tlemcen,Football,Tlemcen,Stade Akit Lotfi,18000,null,null
Algeria,MO/JSM Béjaïa,Football,Béjaïa,Stade de l'Unité Maghrébine,18000,null,null
Algeria,ASO Chlef,Football,Chlef,Stade Boumezrag Mohamed,18000,null,null
Algeria,MC/USM Alger,Football,Algiers,Stade Omar Hamadi,17500,null,null
Algeria,CR Belouizdad,Football,Algiers,Stade 20 Août 1955,15000,null,null
Algeria,CA Bordj Bou Arreridj,Football,Bordj Bou Arreridj,Stade 20 Août 1955,15000,null,all-seater
Algeria,ES Mostaganem,Football,Mostaganem,Stade Mohamed-Bensaïd,15000,null,null
Algeria,ES Guelma,Football,Guelma,Stade Souidani-Boudjemaa,15000,1986,null
Algeria,MO/CS Constantine,Football,Constantine,Stade Benabdelmalek Ramdane,13000,1948,null
Algeria,Olympique de Médéa,Football,Médéa,Stade Imam-Lyes,12000,null,null
Algeria,US Tébassa,Football,Tébassa,Stade du 4 Mars,11000,null,all-seater
Algeria,CR de Témouchent,Football,Aïn Témouchent,Stade Omar Oucief,11000,null,null
Algeria,RC Kouba,Football,Kouba,Stade Omar Benhaddad,10000,null,null
Algeria,US Biskra,Football,Biskra,Complexe Sportif d'El Alia,10000,null,null
Angola,National Stadium,Multi-use,Luanda,Estádio 11 de Novembro,50000,2009,all-seater
Angola,Atlético Petróleos,Football,Luanda,Estádio 11 de Novembro,50000,2009,all-seater
Angola,Atlético Sport Aviação,Football,Luanda,Estadio da Cidadela,40000,null,null
Angola,CD Primeiro de Agosto,Football,Luanda,Estadio da Cidadela,40000,null,null
Angola,National Stadium,Multi-use,Benguela,Estádio de Ombaka,35000,2009,all-seater
Angola,National Stadium,Multi-use,Cabinda,Estádio do Chiazi,20000,2009,all-seater
Angola,National Stadium,Multi-use,Lubango,Estádio da Tundavala,20000,2009,all-seater
Angola,Santos FC,Football,Viana,Estádio do Santos,17000,2003,null
Angola,CR Caála,Football,Huambo,Estádio dos Kuricutelas,17000,null,null
Angola,Benfica Lubango,Football,Lubango,Nossa Senhora do Monte,14000,null,null
Angola,Multi-use,Football,Luanda,Pavilhão Multiusos de Luanda,12750,2013,all-seater
Angola,Kabuscorp SC,Football,Luanda,Estádio dos Coqueiros,12000,2004,all-seater
Angola,Académica Soyo,Football,Soyo,Estádio dos Imbomdeiros,10000,null,null
Angola,CRD Libolo,Football,Calulo,Municipal de Calulo,10000,null,null
Benin,National Stadium,Multi-use,Cotonou,Stade de l'Amitié,35000,null,null
Benin,ASPAC FC,Football,Cotonou,Stade de l'Amitié,35000,null,null
Benin,AS Dragons FC,Football,Porto Novo,Stade Charles de Gaulle,25000,null,null
Benin,Mogas 90 FC,Football,Porto Novo,Stade Charles de Gaulle,25000,null,null
Benin,Requins Atlantique FC,Football,Cotonou,René Pleven d'Akpakpa,12000,null,null
Benin,Soleil FC,Football,Cotonou,René Pleven d'Akpakpa,12000,null,null
Botswana,TAFIC,Football,Francistown,Francistown Stadium,27000,2009,null
Botswana,ECCO City Green,Football,Francistown,Francistown Stadium,27000,2009,null
Botswana,Gaborone United,Football,Gaborone,National Stadium,22500,null,null
Botswana,Notwane FC,Football,Gaborone,National Stadium,22500,null,null
Botswana,Police XI,Football,Gaborone,National Stadium,22500,null,null
Botswana,Township Rollers,Football,Gaborone,National Stadium,22500,null,null
Botswana,Botswana MC FC,Football,Lobatse,Lobatse Stadium,20000,null,null
Botswana,Extension Gunners,Football,Lobatse,Lobatse Stadium,20000,null,null
Burkina Faso,National Stadium,Multi-use,Ouagadougou,Stade du 4 Août,40000,null,null
Burkina Faso,ASFA Ouagadougou,Football,Ouagadougou,Stade du 4 Août,40000,null,null
Burkina Faso,Etoile Filante,Football,Ouagadougou,Stade du 4 Août,40000,null,null
Burkina Faso,ASFB Bobo Dioulasso,Football,Bobo Dioulasso,Stade Municipal,30000,null,null
Burkina Faso,RC Bobo Dioulasso,Football,Bobo Dioulasso,Stade Municipal,30000,null,null
Burkina Faso,USO Ouagadougou,Football,Ouagadougou,Stade Municipal,15000,null,null
Burkina Faso,Santos Ouagadougou,Football,Ouagadougou,Stade Municipal,15000,null,null
Burundi,National Stadium,Multi-use,Bujumbura,Prince Louis Rwagasore,10000,null,null
Burundi,Vital'O FC,Football,Bujumbura,Prince Louis Rwagasore,10000,null,null
Cameroon,National Stadium,Multi-use,Yaoundé,Stade Omnisports,38000,1971,all-seater
Cameroon,Canon de Yaoundé,Football,Yaoundé,Stade Omnisports,38000,1971,all-seater
Cameroon,Tonnerre Kalara Club,Football,Yaoundé,Stade Omnisports,38000,1971,all-seater
Cameroon,Union Douala,Football,Douala,Stade de la Réunification,30000,1972,25000
Cameroon,Oryx Douala,Football,Douala,Stade de la Réunification,30000,1972,25000
Cameroon,Coton Sport Garoua,Football,Garoua,Omnisports Roumdé Adjia,22000,1978,20000
Cameroon,Victoria United,Football,Limbé,Stade de Limbé,20000,2012,all-seater
Cameroon,Panthère,Football,Bangangté,Stade Municipal,20000,null,null
Cameroon,Bamboutos Mbouda,Football,Mbouda,Stade de Mbouda,11000,null,null
Cameroon,PWD de Bamenda,Football,Bamenda,Municipal de Bamenda,10000,null,null
Cameroon,Kumbo Strikers,Football,Kumbo,Municipal de Kumbo,10000,null,null
Cameroon,Girondins Ngaoundéré,Football,Ngaoundéré,Stade Ndoumbe Oumar,10000,null,null
Cameroon,Olympic Ngaoundéré,Football,Ngaoundéré,Stade Ndoumbe Oumar,10000,null,null
Cameroon,Espérance Guider,Football,Guider,Municipal de Guider,10000,null,null
Central African Republic,National Stadium,Multi-use,Bangui,Barthelemy Boganda Stadium,20000,null,null
Central African Republic,Olympic Real de Bangui,Football,Bangui,Barthelemy Boganda Stadium,20000,null,null
Chad,National Stadium,Multi-use,N'Djamena,Stade Idriss Mahamat Ouya,20000,null,all-seater
Chad,Multi-use,Multi-use,N'Djamena,Complexe Sportif de Diguel,10800,null,all-seater
Chad,AS Lad,Football,Moundou,Stade de Moundou,10000,null,null
Congo,National Stadium,Multi-use,Brazzaville,Stade Municipal de Kintélé,60000,2015,all-seater
Congo,Football-use,Football,Brazzaville,Stade A. Massamba Débat,33037,1965,null
Congo,Football-use,Football,Ouesso,Stade de Ouesso,16000,2015,all-seater
Congo,Football-use,Football,Pointe-Noire,Stade Municipal,13594,2006,all-seater
Congo,Football-use,Football,Owando,Stade Marien Nguabi,13037,2009,all-seater
Congo,Indoor Sports,Indoor Sports,Brazzaville,Palais des Sports de Kintélé,10134,2015,all-seater
Dem. Rep. Congo,National Stadium,Multi-use,Kinshasa,Stade des Martyrs,80000,1994,null
Dem. Rep. Congo,DC Motema Pembe,Football,Kinshasa,Stade Tata Raphaël,50000,1952,null
Dem. Rep. Congo,AS Vita Club,Football,Kinshasa,Stade Tata Raphaël,50000,1952,null
Dem. Rep. Congo,FC St. Eloi Lupopo,Football,Lubumbashi,Stade F. Kibassa Maliba,35000,null,null
Dem. Rep. Congo,AS New Soger,Football,Lubumbashi,Stade F. Kibassa Maliba,35000,null,null
Dem. Rep. Congo,Blessing FC,Football,Lubumbashi,Stade F. Kibassa Maliba,35000,null,null
Dem. Rep. Congo,AS Dragons,Football,Kinshasa,Stade Cardinal Malula,24000,1937,null
Dem. Rep. Congo,TP Mazembe,Football,Lubumbashi,Nouveau Stade Mazembe,18000,2011,null
Dem. Rep. Congo,CS Don Bosco,Football,Lubumbashi,Nouveau Stade Mazembe,18000,2011,null
Dem. Rep. Congo,OC Bukavu Dawa,Football,Bukavu,Stade de la Concorde,10000,null,null
Dem. Rep. Congo,OC Muungano,Football,Bukavu,Stade de la Concorde,10000,null,null
Dem. Rep. Congo,US Tshinkunku,Football,Kananga,Stade des Jeunes,10000,null,null
Dem. Rep. Congo,AS St. Luc,Football,Kananga,Stade des Jeunes,10000,null,null
Dem. Rep. Congo,AS Nika,Football,Kisangani,Stade Lumumba,10000,null,null
Dem. Rep. Congo,TS Malekesa,Football,Kisangani,Stade Lumumba,10000,null,null
Djibouti,National Stadium,Multi-use,Djibouti,El Hadj Hassan Gouled Aptidon,10000,null,null
Djibouti,AS Tadjourah,Football,Djibouti,El Hadj Hassan Gouled Aptidon,10000,null,null
Equatorial Guinea,National Stadium,Football,Bata,Estadio de Bata,35700,2007,all-seater
Equatorial Guinea,The Panters FC,Football,Malabo,Nuevo Estadio de Malabo,15250,2007,all-seater
Equatorial Guinea,Football-use,Football,Malabo,Estadio La Paz,10000,null,null
Eritrea,National Stadium,Multi-use,Asmara,Cicero Stadium,10000,1958,all-seater
Ethiopia,National Stadium,Multi-use,Bahir Dar,Bahir Dar Int'l Stadium,60000,2015,null
Ethiopia,Ethiopian Bunna,Football,Addis Abeba,Addis Abeba Stadium,35000,null,null
Ethiopia,St. George FC,Football,Addis Abeba,Addis Abeba Stadium,35000,null,null
Ethiopia,Defence Force SC,Football,Addis Abeba,Addis Abeba Stadium,35000,null,null
Ethiopia,Awassa Kenema,Football,Awassa,Awassa Kenema,25000,null,null
Ethiopia,Dedebit FC,Football,Addis Abeba,Abebe Bikila Stadium,20000,null,null
Ethiopia,Arba Minch Cherka Cherk,Football,Dire Dawa,Dire Dawa Stadium,18000,null,null
Ethiopia,Football-use,Football,Bahir Dar,University Stadium,15000,null,null
Ethiopia,Wonji Seqwar,Football,Oromiya,Wonji Stadium,14000,null,null
Ethiopia,Muger Cemento,Football,Oromiya,Wonji Stadium,14000,null,null
Ethiopia,Kombolcha Textiles,Football,Kombolcha,Dessie Stadium,10000,null,null
Ethiopia,Trans Ethiopia,Football,Tigray,Tigray Stadium,10000,null,null
Ethiopia,Guna Nigd,Football,Tigray,Tigray Stadium,10000,null,null
Gabon,National Stadium,Multi-use,Libreville,Stade d'Angondjé,40000,2011,all-seater
Gabon,Football Canon 105,Football,Libreville,Stade d'Angondjé,40000,2011,all-seater
Gabon,DT Gabon Télécom,Football,Libreville,Stade d'Angondjé,40000,2011,all-seater
Gabon,FC Franceville,Football,Franceville,Stade de Franceville,25000,2011,all-seater
Gabon,Football-use,Football,Oyem,Stade d'Oyem,20500,2016,all-seater
Gabon,Football-use,Football,Port-Gentil,Stade de Port-Gentil,20000,2016,all-seater
Gambia,National Stadium,Football,Bakau,Independence Stadium,30000,1984,null
Gambia,Wrestling,Wrestling,Serekunda,Worni Wrestling Arena,10000,2011,null
Ghana,Asante Kotoko,Football,Kumasi,Baba Yara Stadium,40528,2007,all-seater
Ghana,King Faisal Babes,Football,Kumasi,Baba Yara Stadium,40528,2007,all-seater
Ghana,National Stadium,Multi-use,Accra,Accra Sports Stadium,40000,2007,all-seater
Ghana,Great Olympics,Football,Accra,Accra Sports Stadium,40000,2007,all-seater
Ghana,Hearts of Oak,Football,Accra,Accra Sports Stadium,40000,2007,all-seater
Ghana,Real Tamale United,Football,Tamale,Tamale Stadium,21017,2007,all-seater
Ghana,Hasaacas,Football,Sekondi,Essipong Stadium,20000,2007,all-seater
Ghana,Ashanti Gold SC,Football,Obuasi,Len Clay Stadium,20000,2005,all-seater
Ghana,New Edubiase UFC,Football,Obuasi,Len Clay Stadium,20000,2005,all-seater
Ghana,Ebusua Dwarfs,Football,Cape Coast,Robert Mensah Stadium,15000,null,null
Ghana,Eleven Wise,Football,Sekondi,Gyandu Park,15000,null,null
Ghana,Medeama SC,Football,Kumasi,Abrankese Stadium,13000,2007,null
Ghana,Football-use,Football,Accra,Kaneshie Complex,10000,null,null
Guinea,National Stadium,Multi-use,Conakry,Stade de l'Unité,50000,2012,all-seater
Guinea,Satellite FC,Football,Conakry,Stade du 28 Septembre,25000,1962,null
Guinea,Hafia FC,Football,Conakry,Stade du 28 Septembre,25000,1962,null
Guinea,AS Kaloum Star,Football,Conakry,Stade du 28 Septembre,25000,1962,null
Guinea,Horoya FC,Football,Conakry,Stade du 28 Septembre,25000,1962,null
Guinea Bissau,National Stadium,Multi-use,Bissau,Estádio 24 de Setembro,20000,null,null
Guinea Bissau,Sport Bissau e Benfica,Football,Bissau,Estádio 24 de Setembro,20000,null,null
Ivory Coast,National Stadium,Multi-use,Abidjan,Félix Houphouet-Boigny,45000,null,null
Ivory Coast,ASC Bouaké,Football,Bouaké,Stade de la Paix,35000,1984,null
Ivory Coast,Sabé Sports de Bouna,Football,Bouna,Stade Municipal,10000,null,null
Kenya,National Stadium,Multi-use,Kasarani,M.I.S.C. Stadium,60000,1987,all-seater
Kenya,Sofapaka,Football,Nairobi,Nyayo National Stadium,30000,1983,all-seater
Kenya,AFC Leopards SC,Football,Nairobi,Nyayo National Stadium,30000,1983,all-seater
Kenya,Gor Mahia,Football,Nairobi,Nyayo National Stadium,30000,1983,all-seater
Kenya,Gor Mahia,Football,Nairobi,Nairobi City Stadium,15000,null,null
Kenya,KCB,Football,Nairobi,Nairobi City Stadium,15000,null,null
Kenya,Utalii Nairobi,Football,Nairobi,Ruaraka Stadium,15000,null,null
Kenya,Raiply Eldoret,Football,Eldoret,Kipchoge Keino Stadium,10000,null,null
Kenya,Coast Stars FC,Football,Mombasa,Municipal Stadium,10000,null,null
Kenya,Bandari FC,Football,Mombasa,Municipal Stadium,10000,null,null
Kenya,Mumias Sugar,Football,Mumias,Mumias Sports Complex,10000,null,null
Kenya,Muruguru,Football,Nyeri,Ruring'u Stadium,10000,null,null
Kenya,Panpaer,Football,Webuye,Ilala Stadium,10000,null,null
Kenya,Multi-use,Multi-use,Embu,Moi Kinoru Stadium,10000,null,null
Lesotho,National Stadium,Multi-use,Maseru,Setsoto Stadium,20000,null,null
Lesotho,Matlama FC,Football,Maseru,Setsoto Stadium,20000,null,null
Liberia,National Stadium,Multi-use,Monrovia,Samuel Kanyon Doe Stadium,35000,null,null
Liberia,Invincible Eleven,Football,Monrovia,A. Tubman Stadium,10000,null,null
Liberia,B. Young Controllers FC,Football,Monrovia,A. Tubman Stadium,10000,null,null
Libya,Al-Ahly,Football,Tripoli,11 June Stadium,67000,1967,50000
Libya,Al-Ittihad,Football,Tripoli,11 June Stadium,67000,1967,50000
Libya,Al-Medina,Football,Tripoli,11 June Stadium,67000,1967,50000
Libya,Al-Harati FC,Football,Al-Khoms,Al-Khoms Stadium,16100,null,all-seater
Libya,An-Najm Ar-Rifi FC,Football,Al-Khoms,Al-Khoms Stadium,16100,null,all-seater
Libya,As-Swehli SC,Football,Misurata,9 July Stadium,16000,null,all-seater
Libya,Al-Ahly Benghazi,Football,Benghazi,Martyrs of February Stadium,10550,2009,all-seater
Libya,Al-Hilal,Football,Benghazi,Martyrs of February Stadium,10550,2009,all-seater
Libya,Al-Nasr,Football,Benghazi,Martyrs of February Stadium,10550,2009,all-seater
Libya,Indoor Sports,Indoor Sports,Benghazi,Suliman Ad-Dharrath Arena,10000,1967,all-seater
Madagascar,National Stadium,Multi-use,Antananarivo,Mahama Sina Stadium,22000,null,null
Madagascar,AS Adema,Football,Antananarivo,Mahama Sina Stadium,22000,null,null
Madagascar,AJESAIA,Football,Antananarivo,Mahama Sina Stadium,22000,null,null
Madagascar,USJF Ravinala,Football,Antananarivo,Mahama Sina Stadium,22000,null,null
Madagascar,USCA Foot,Football,Antananarivo,Mahama Sina Stadium,22000,null,null
Madagascar,AS Fortior,Football,Toamasina,Barikadimy Stadium,20000,null,null
Madagascar,SOE Antananarivo,Football,Antananarivo,Olympic Stadium Emyrne,15000,null,null
Madagascar,Multi-use,Multi-use,Antananarivo,Alarobia Stadium,15000,null,null
Madagascar,Tana Formation,Football,Mahajanga,A. Rabemananjara Stadium,10000,null,null
Madagascar,3FB,Rugby,Antananarivo,Malacam Stadium,10000,null,null
Malawi,National Team,Football,Lilongwe,Bingu Int'l Stadium,41100,2016,all-seater
Malawi,Big Bullets,Football,Blantyre,Kamuzu Stadium,32000,null,null
Malawi,CIVO United,Football,Lilongwe,Civo Stadium,25000,null,null
Malawi,Silver Strikers,Football,Lilongwe,Silver Stadium,20000,null,null
Mali,National Stadium,Multi-use,Bamako,Stade du 26 mars,50000,2001,all-seater
Mali,Stade Malien,Football,Bamako,Stade du 26 mars,50000,2001,all-seater
Mali,Cercle Olympique,Football,Bamako,Stade du 26 mars,50000,2001,all-seater
Mali,Djoliba AC,Football,Bamako,Stade du 26 mars,50000,2001,all-seater
Mali,AS Real Bamako,Football,Bamako,Stade Modibo Keita,25000,null,null
Mali,AS Tata National,Football,Sikasso,Stade Omnisports,20000,2001,all-seater
Mali,AS Biton Ségou,Football,Ségou,Stade Amari Daou,15000,2001,all-seater
Mauritania,National Stadium,Multi-use,Nouakchott,Stade National,20000,null,null
Mauritius,AS Rivière du Rempart,Football,Belle Vue,Stade Anjalay,16000,null,all-seater
Mauritius,Pamplemousses SC,Football,Belle Vue,Stade Anjalay,16000,null,all-seater
Mauritius,AS Port-Louis 2000,Football,Belle Vue,Stade Anjalay,16000,null,all-seater
Mauritius,Arsenal Wanderers,Football,Belle Vue,Stade Anjalay,16000,null,all-seater
Morocco,National Stadium,Multi-use,Casablanca,Stade Mohammed V,67000,1955,all-seater
Morocco,Wydad Athletic Club,Football,Casablanca,Stade Mohammed V,67000,1955,all-seater
Morocco,Raja Club Athletic,Football,Casablanca,Stade Mohammed V,67000,1955,all-seater
Morocco,FAR Rabat,Football,Rabat,Stade Moulay Abdellah,52000,1983,all-seater
Morocco,FUS de Rabat,Football,Rabat,Stade Moulay Abdellah,52000,1983,all-seater
Morocco,Hassania Agadir,Football,Agadir,Stade d'Agadir,45480,2013,all-seater
Morocco,Maghreb de Fes,Football,Fes,Complexe Sportif,45000,2003,all-seater
Morocco,Wydad de Fes,Football,Fes,Complexe Sportif,45000,2003,all-seater
Morocco,Ittihad de Tanger,Football,Tanger,Grand Stade de Tanger,45000,2011,all-seater
Morocco,Kawkab de Marrakech,Football,Marrakech,Grand Stade de Marrakech,41356,2011,all-seater
Morocco,MC Oujda,Football,Oujda,Stade d'Honneur,35000,1977,all-seater
Morocco,Football-use,Football,Marrakech,Stade El Harti,20000,null,null
Morocco,CODM de Meknes,Football,Meknes,Stade d'Honneur,20000,null,null
Morocco,Majd Al Madina,Football,Casablanca,Stade Larbi Ben Mbarek,20000,null,null
Morocco,Renaissance Settat,Football,Settat,Stade Municipal,20000,null,null
Morocco,Renaissance Berkane,Football,Berkane,Stade Municipal,15000,null,null
Morocco,OC Safi,Football,Safi,Stade El Massira,15000,null,null
Morocco,Moghreb Tétouan,Football,Tétouan,Stade Saniat Rmel,15000,null,null
Morocco,KAC Kénitra,Football,Kénitra,Stade Municipal,15000,1975,null
Morocco,Football-use,Football,Ifrane,Stade Municipal,13123,1990,all-seater
Morocco,Raja Beni Mellal,Football,Beni Mellal,Stade d'Honneur,12000,null,null
Morocco,Chabab Rif,Football,Al Hoceima,Stade Mimoun Al Arsi,12000,null,null
Morocco,Raja Al Hoceima,Football,Al Hoceima,Stade Mimoun Al Arsi,12000,null,null
Morocco,MEC d'Ain Chock,Basketball,Casablanca,Salle Mohamed V,12000,1981,all-seater
Morocco,Rabita de Casablanca,Handball,Casablanca,Salle Mohamed V,12000,1981,all-seater
Morocco,Raja Club Athletic,Handball,Casablanca,Salle Mohamed V,12000,1981,all-seater
Morocco,US Sidi Kacem,Football,Sidi Kacem,Stade Col. A. Allam,12000,null,null
Morocco,FAR de Rabat,Handball,Rabat,Salle Moulay Abdellah,11000,1983,all-seater
Morocco,Union Fekih,Football,Bensaleh,Stade Municipal,10300,null,null
Morocco,JS de la Massira,Football,Laâyoune,Stade Sheikh M. Laghdaf,10000,null,null
Morocco,Race-use,Race-use,Marrakech,CIA Moulay El Hassan,10000,null,null
Morocco,AS Salé,Football,Salé,Stade Boubker Ammar,10000,null,null
Morocco,Ittihad Zemmouri,Football,Khémisset,Stade du 20 Août,10000,null,null
Morocco,Olympique Khouribga,Football,Khouribga,Stade du Phosphate,10000,null,null
Morocco,DH El Jadida,Football,El Jadida,Stade El Abdi,10000,null,null
Morocco,Union Ait Melloul,Football,Ait Melloul,Stade Municipal,10000,null,null
Morocco,Rachad Bernoussi,Football,Casablanca,Complèxe Bernoussi,10000,null,null
Morocco,Wafaa Wydad,Football,Casablanca,Stade Tessema,10000,null,null
Morocco,Chabab Atlas,Football,Khénifra,Stade Municipal,10000,null,null
Mozambique,Ferroviário Maputo,Football,Maputo,Estádio da Machava,45000,1968,null
Mozambique,National Stadium,Football,Maputo,Estádio do Zimpeto,42000,2011,all-seater
Mozambique,Maxaquene Maputo,Football,Maputo,Estádio do Maxaquene,15000,null,null
Mozambique,Costa do Sol FC,Football,Maputo,Estádio do Costa do Sol,10000,null,null
Mozambique,Matchedje Maputo,Football,Maputo,Estádio do Costa do Sol,10000,null,null
Namibia,Multi-use,Multi-use,Windhoek,Independence Stadium,25000,null,null
Namibia,National Stadium,Football,Windhoek,Sam Nujoma Stadium,10300,2005,all-seater
Namibia,Black Africa FC,Football,Windhoek,Sam Nujoma Stadium,10300,2005,all-seater
Niger,National Stadium,Multi-use,Niamey,Général Seyni Kountché,30000,null,null
Niger,Sahel SC,Football,Niamey,Général Seyni Kountché,30000,null,null
Niger,Zumunta AC,Football,Niamey,Général Seyni Kountché,30000,null,null
Niger,Olympic FC,Football,Niamey,Général Seyni Kountché,30000,null,null
Niger,JS du Ténéré,Football,Niamey,Général Seyni Kountché,30000,null,null
Niger,Liberté FC,Football,Niamey,Stade de Niamey,10000,null,null
Niger,Jangorzo FC,Football,Maradi,Stade de Maradi,10000,null,null
Niger,Dan Gourmou,Football,Tahoua,Stade de Tahoua,10000,null,null
Niger,Espoir FC,Football,Zinder,Stade de Zinder,10000,null,null
Nigeria,National Stadium,Multi-use,Abuja,Abuja Stadium,60491,2003,all-seater
Nigeria,Cowrie RFC,Rugby,Lagos,Surelere Stadium,45000,1972,all-seater
Nigeria,Dolphins FC,Football,Port Harcourt,Adokiye Amiesimaka Stadium,38000,2015,all-seater
Nigeria,Spotlight FC,Football,Katsina,Karkanda Stadium,35000,2013,all-seater
Nigeria,Nigerian Super Eagles,Football,Uyo,Godswill Akpabio Stadium,30000,2014,all-seater
Nigeria,Taraba FC,Football,Jalingo,Jalingo City Stadium,30000,2006,null
Nigeria,Football-use,Football,Ibadan,Obafemi Awolowo Stadium,25000,1960,all-seater
Nigeria,Calabar Rovers,Football,Calabar,U.J. Esuene Stadium,25000,1977,all-seater
Nigeria,First Bank FC,Football,Lagos,Taslim Balogun Stadium,24325,2007,all-seater
Nigeria,Rangers International,Football,Enugu,Nnamdi Azikiwe Stadium,22000,1959,all-seater
Nigeria,Kogi United FC,Football,Lokoja,Lokoja Confluence Stadium,20000,2013,all-seater
Nigeria,Warri Wolves FC,Football,Warri,Warri Township Stadium,20000,null,null
Nigeria,FC Ebedei,Football,Ijebu-Ode,Otunba Dipo Dina Int'l Stadium,20000,null,null
Nigeria,Remo Stars,Football,Ijebu-Ode,Otunba Dipo Dina Int'l Stadium,20000,null,null
Nigeria,Gateway United FC,Football,Abeokuta,M.K.O. Abiola Stadium,20000,null,null
Nigeria,Bendel Insurance FC,Football,Benin City,Samuel Ogbemudia Stadium,20000,null,null
Nigeria,Kwara United FC,Football,Ilorin,Kwara State Stadium,18000,null,null
Nigeria,ABS FC,Football,Ilorin,Kwara State Stadium,18000,null,null
Nigeria,Shooting Stars SC,Football,Ibadan,Lekan Salami Stadium,18000,null,null
Nigeria,Football-use,Football,Sagamu,Gateway International Stadium,17000,2010,null
Nigeria,Enyimba Intl' FC,Football,Aba,Enyimba Sports Stadium,16000,1992,null
Nigeria,Dolphins FC,Football,Port Harcourt,Yakubu Gowon Stadium,16000,2001,null
Nigeria,Kano Pillars FC,Football,Kano,Sani Abacha Stadium,18000,1982,all-seater
Nigeria,El-Kanemi Warriors,Football,Kano,Sani Abacha Stadium,18000,1982,all-seater
Nigeria,Kaduna United FC,Football,Kaduna,Ahmadu Bello Stadium,16000,1965,null
Nigeria,Bayelsa United FC,Football,Sapele,Sapele Township Stadium,16000,null,null
Nigeria,Sunshine Stars FC,Football,Akure,Akure Township Stadium,15000,null,null
Nigeria,Lobi Stars FC,Football,Makurdi,Aper Aku Stadium,15000,null,all-seater
Nigeria,Plateau United,Football,Jos,Rwang Pam Stadium,15000,null,null
Nigeria,Mighty Jets,Football,Jos,Rwang Pam Stadium,15000,null,null
Nigeria,JUTH FC,Football,Jos,Rwang Pam Stadium,15000,null,null
Nigeria,Giwa FC,Football,Jos,Rwang Pam Stadium,15000,null,null
Nigeria,BCC Lions,Football,Gboko,J.S. Tarka Stadium,15000,null,null
Nigeria,Wikki Tourists,Football,Bauchi,A.T. Balewa Stadium,12000,1985,all-seater
Nigeria,Gateway United FC,Football,Ilaro,Ilaro Stadium,12000,2008,null
Nigeria,Anambra Pillars FC,Football,Onitsha,Chuba Ikpeazu Stadium,12000,2009,null
Nigeria,Anambra United FC,Football,Onitsha,Chuba Ikpeazu Stadium,12000,2009,null
Nigeria,Ranchers Bees,Football,Kaduna,Ranchers Bees Stadium,10000,null,null
Nigeria,Kaduna United,Football,Kaduna,Ranchers Bees Stadium,10000,null,null
Nigeria,DSS FC,Football,Kaduna,Ranchers Bees Stadium,10000,null,null
Nigeria,Sharks FC,Football,Port Harcourt,Sharks Stadium,10000,null,null
Nigeria,El Kanemi Warriors,Football,Maiduguri,El Kanemi Stadium,10000,null,null
Nigeria,Heartland FC,Football,Owerri,Dan Anyiam Stadium,10000,null,null
Nigeria,Gombe United,Football,Gombe,Pantami Stadium,10000,2010,null
Nigeria,Multi-use,Multi-use,Gombe,Abubakar Umar Memorial,10000,null,null
Nigeria,Football-use,Football,Oba,Rojenny Stadium,10000,null,null
Nigeria,Jigawa Golden Stars,Football,Dutse,Dutse Stadium,10000,null,null
Nigeria,Delta United,Football,Kwale,Kwale Mini Sports Stadium,10000,null,null
Nigeria,Prime FC,Football,Oshogbo,Oshogbo Stadium,10000,null,null
Nigeria,Kaduna United FC,Football,Zaria,Zaria Township Stadium,10000,null,null
Nigeria,Football-use,Football,Abeokuta,Muda Lawal Stadium,10000,null,null
Réunion,St. Pauloise FC,Football,St. Paul,Stade Paul Julius Bénard,12000,null,null
Réunion,St. Dénis FC,Football,St. Dénis,Stade Jean Ivoula,10000,null,null
