Country,Tenant,Sport,City,Stadium,Capacity,Built,Seats
Chile,Deportes Iquique,Football,Iquique,Tierra de Campeones,13000,1993,null
Chile,CD Cobreloa,Football,Calama,Estadio Zorros del Desierto,12000,1952,all-seater
Chile,Ñublense FC,Football,Chillán,Nelson Oyarzún Arenas,12000,2008,all-seater
Chile,Audax Italiano,Football,Santiago,Municipal de la Florida,12000,2008,all-seater
Chile,Asociación O'Higgins,Rodeo-use,Rancagua,Medialuna de Rancagua,12000,1997,all-seater
Chile,Provincial Osorno,Football,Osorno,Rubén Marcos Peralta,10800,1940,null
Chile,CD Puerto Montt,Football,Puerto Montt,Estadio Chinquihue,10000,2013,all-seater
Chile,Huachipato,Football,Talcahuano,Estadio CAP,10500,2009,all-seater
Chile,CD San Marcos,Football,Arica,Estadio Carlos Dittborn,10000,1962,all-seater
Colombia,Deportivo Calì,Football,Palmira,Estadio Deportivo Calí,52000,2010,null
Colombia,Junior FC,Football,Barranquilla,Estadio Metropolitano,46788,1986,all-seater
Colombia,Uniautónoma FC,Football,Barranquilla,Estadio Metropolitano,46788,1986,all-seater
Colombia,Cúcuta Deportivo,Football,Cúcuta,General Santander,42901,1940,null
Colombia,Atletico Nacional,Football,Medellín,Atanasio Girardot,40943,1953,all-seater
Colombia,Deportivo Independiente,Football,Medellín,Atanasio Girardot,40943,1953,all-seater
Colombia,Millonarios,Football,Bogotá,Nemesio Camacho,36343,1938,all-seater
Colombia,Independiente Santa Fe,Football,Bogotá,Nemesio Camacho,36343,1938,all-seater
Colombia,CD América,Football,Calì,Pascual Guerrero,33130,1937,all-seater
Colombia,Deportivo Calì,Football,Calì,Pascual Guerrero,33130,1937,all-seater
Colombia,Deportes Tolima,Football,Ibagué,Manuel Murillo Toro,33000,1955,null
Colombia,Deportivo Pereira,Football,Pereira,Hernan Ramirez Villegas,30297,1971,all-seater
Colombia,Once Caldas,Football,Manizales,Estadio Palogrande,28678,1994,all-seater
Colombia,Atletico Bucaramanga,Football,Bucaramanga,Estadio Alfonso Lopez,28000,1948,null
Colombia,Real Santander,Football,Bucaramanga,Estadio Alfonso Lopez,28000,1948,null
Colombia,Indoor Sports,Indoor Sports,Bogotà,Coliseo Cubierto El Campín,28000,1973,all-seater
Colombia,Deportivo Pasto,Football,Pasto,Estadio Libertad,27380,1954,null
Colombia,Atletico Huila,Football,Neiva,Estadio G. Plazas Alcid,27000,1980,all-seater
Colombia,Union Magdalena,Football,Santa Marta,Estadio Eduardo Santos,22000,1951,null
Colombia,Boyacá Chicó FC,Football,Tunja,Monumental La Independencia,21000,2000,null
Colombia,Patriotas FC,Football,Tunja,Monumental La Independencia,21000,2000,null
Colombia,Quindío Deportivo,Football,Armenia,Estadio Centenario,20716,1988,all-seater
Colombia,Barranquilla FC,Football,Barranquilla,Estadio Romelio Martinez,20000,1934,null
Colombia,Bullfight-use,Bullfight-use,Medellín,Plaza La Macarena,18000,1945,null
Colombia,Bullfight-use,Bullfight-use,Bucaramanga,Plaza Monumental,18000,2003,null
Colombia,Basketball-use,Basketball,Calì,Coliseo El Pueblo,18000,1971,all-seater
Colombia,Bullfight-use,Bullfight-use,Manizales,Plaza de Manizales,17000,1951,null
Colombia,Bullfight-use,Bullfight-use,Calì,Plaza de Cañaveralejo,16815,1957,null
Colombia,Real Cartagena,Football,Cartagena,Estadio J. Moron Leon,16068,1960,null
Colombia,Cortuluá,Football,Tuluá,Estadio 12 de Octubre,16000,1967,null
Colombia,Atlético Juventud,Football,Girardot,Estadio L.A. Duque Peña,15000,1963,null
Colombia,Centauros,Football,Villavicencio,Manuel Calle Lombana,15000,null,null
Colombia,Bullfight-use,Bullfight-use,Bogotá,Plaza La Santamaría,14500,1931,null
Colombia,Envigado FC,Football,Envigado,Estadio Polideportivo Sur,14000,1992,all-seater
Colombia,Deportivo Rionegro,Football,Rionegro,Alberto Grisales,14000,null,null
Colombia,CD Ciudad de Itagüí,Football,Itagüí,Estadio Metropolitano,12000,1994,null
Colombia,Bogotá FC,Football,Bogotá,Estadio Alfonso López Pumarejo,12000,1938,null
Colombia,Valledupar FC,Football,Valledupar,Estadio A. Maestre Pavajeau,10000,null,null
Colombia,Bullfight-use,Bullfight-use,Bucaramanga,Plaza de Vista Hermosa,10000,2001,all-seater
Ecuador,Barcelona SC,Football,Guayaquil,Estadio Banco Pichincha,59283,1987,all-seater
Ecuador,Multi-use,Multi-use,Guayaquil,Estadio Modelo A. Spencer,42000,1959,all-seater
Ecuador,LDU Quito,Football,Quito,Estadio Rodrigo Paz Delgado,41596,1997,all-seater
Ecuador,CS Emelec,Football,Guayaquil,Estadio Banco del Pacífico,40000,1945,all-seater
Ecuador,CD El Nacional,Football,Quito,Olímpico Atahualpa,35742,1951,all-seater
Ecuador,CD Universidad Católica,Football,Quito,Olímpico Atahualpa,35742,1951,all-seater
Ecuador,CD América,Football,Quito,Olímpico Atahualpa,35742,1951,all-seater
Ecuador,Deportivo Quito,Football,Quito,Olímpico Atahualpa,35742,1951,all-seater
Ecuador,Horse-Racing-use,Horse-Racing-use,Guayaquil,Hipódromo Miguel Salem Dibo,29000,1980,7000
Ecuador,LDU Portoviejo,Football,Portoviejo,Reales Tamarindos,21000,1970,all-seater
Ecuador,Colón FC,Football,Portoviejo,Reales Tamarindos,21000,1970,all-seater
Ecuador,SD Aucas,Football,Quito,Gonzalo Pozo Ripalda,18800,1994,all-seater
Ecuador,Imbabura SC,Football,Ibarra,Estadio Olímpico,17300,1988,all-seater
Ecuador,Técnico Universitario,Football,Ambato,Estadio Bellavista,16500,1945,all-seater
Ecuador,Macará,Football,Ambato,Estadio Bellavista,16500,1945,all-seater
Ecuador,Mushuc Runa SC,Football,Ambato,Estadio Bellavista,16500,1945,all-seater
Ecuador,Deportivo Cuenca,Football,Cuenca,Alejandro Serrano Aguilar,16500,1945,all-seater
Ecuador,Fuerza Amarilla SC,Football,Machala,Estadio 9 de Mayo,16500,1955,all-seater
Ecuador,Deportivo Quevedo,Football,Quevedo,Estadio 7 de Octubre,15200,1952,all-seater
